Asset Turnover Ratio,Average return on capital employed 3Years,Book Value,CROIC,Cash Conversion Cycle,Change in promoter holding 3Years,Company,Current Price,Current ratio,Days Payable Outstanding,Debt to equity Ratio,Dividend Yield,EPS,Face Value,Financial leverage,Free cash flow last year,Industry,Industry PE,Intrinsic Value,Inventory turnover ratio,Market Cap,Piotroski score,Price to Earning,Price to Earnings To Growth,Price to Free Cash Flow,Price to Sales Ratio,Price to book value,Profit after tax last year,Promoter holding,Quick ratio,ROCE,ROE,Receivables to Sales Ratio,Reserves,Return on assets,Return on assets 3years,Sales Growth (3Yrs),Sector,Stock P/E,Unpledged promoter holding,Volume,debt to Free cash flow,debt to Reserves Ratio
0.00,-3.52,5.55,-15.49,,13.10,IB Infotech Enterprises Ltd,16.95,72.00,33.18,0.00,0.00,-0.59,10.00,1.00,0.01, Industry: Food - Processing - Indian,22.68,,,2.17,4.00,,,220.35,217.00,3.06,-0.05,49.04,72.00,-6.17,-6.17,,-0.57,-6.13,-3.97,%,Sector: FMCG ,,49.04,,0.00,0.00
0.50,-8.56,58.75,-18.17,248.62,0.00,Punjab Communications Ltd,15.15,1.96,121.57,0.00,0.00,-2.20,10.00,1.00,-13.71, Industry: Telecommunications - Equipment,32.24,,1.45,18.21,6.00,,,-1.33,0.41,0.26,-4.86,71.28,1.75,-6.19,-6.44,0.73,58.58,-6.10,-8.31,21.74,Sector: Telecomm Equipment & Infra Services ,,71.28,711,0.00,0.00
-2.15,-0.12,-75.81,-6.70,-75.61,74.36,Tata Teleservices (Maharashtra) Ltd,3.80,0.10,106.68,,0.00,-3.42,10.00,0.15,535.61, Industry: Telecommunications - Service Provider,9.21,,1722,742.87,5.00,,,1.39,0.58,,-1850.64,74.36,0.10,-6.21,%,0.09,-16774.76,-34.95,-18.50,-13.56,Sector: Telecomm-Service ,,74.36,493133,-107.49,-0.75
0.60,-4.37,16.32,0.31,218.22,-16.56,Nitco Ltd,30.60,1.85,93.04,6.34,0.00,-6.50,10.00,7.34,424.81, Industry: Ceramics - Tiles / Sanitaryware,29.98,,1.83,219.89,3.00,,,0.52,0.37,1.88,-55.29,53.00,1.08,-6.23,-900,0.34,45.40,-5.08,-4.25,-11.85,Sector: Ceramic Products ,,4.55,35478,5.40,16.37
0.02,-6.25,-0.35,3.34,,-0.31,ATN International Ltd,0.10,0.21,1085,,0.00,-0.07,4.00,-5.86,-1.96, Industry: Finance & Investments,25.64,,,0.40,5.00,,,-0.20,2.50,,-0.55,0.17,0.21,-6.37,%,0.00,-17.17,-6.37,-5.99,-7.58,Sector: Finance ,,0.17,5054,-14.53,-0.56
,,4.71,,,,BMB Music & Magnetics Ltd,2.20,,,,0.00,,10.00,,, Industry: Entertainment / Electronic Media Software,,,,1.33,,,,,,,,,,-6.39,-5.11,,,,,%,Sector: Entertainment ,,,,,
,,9.05,,,,Neogem India Ltd,2.78,,,,0.00,,10.00,,, Industry: Diamond Cutting / Jewellery,,,,2.27,,,,,,,,,,-6.46,-20.45,,,,,-53.30,"Sector: Diamond, Gems and Jewellery ",,,,,
,,89.38,,,,Shriram Asset Management Co Ltd,168.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,100.80,,,,,,,,,,-6.47,-6.58,,,,,2.76,Sector: Finance ,,,,,
,,4.69,,,,ISL Consulting Ltd,10.15,,,,0.00,,5.00,,, Industry: Finance & Investments,,,,24.36,,,,,,,,,,-6.51,-7.90,,,,,37.45,Sector: Finance ,,,,,
0.45,0.07,3.80,75.00,-87.26,-0.70,Sakthi Sugars Ltd,9.30,0.23,163.64,6.60,0.00,-17.94,10.00,7.60,-32.58, Industry: Sugar,10.98,,4.86,110.53,3.00,,,-3.39,0.22,2.45,-158.24,59.97,0.16,-6.59,-45.62,0.13,-73.71,-12.24,-6.66,-14.17,Sector: Sugar ,,2.02,14214,3.59,-4.04
,,75.14,,,,Neha International Ltd,1.62,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,4.60,,,,,,,,,,-6.62,-10.76,,,,,-0.36,Sector: Miscellaneous ,,,,,
0.04,-2.49,16.85,-3.72,-75.00,0.00,Rajath Finance Ltd,7.59,26.78,85.00,0.00,0.00,-0.65,10.00,1.00,-0.03, Industry: Finance & Investments,25.64,,13.00,3.04,4.00,,,-101.20,10.48,0.45,-0.35,69.76,26.70,-6.70,-4.88,0.00,2.75,-4.69,-2.54,-14.09,Sector: Finance ,,69.76,,0.00,0.00
,,26.11,,,,ETT Ltd,19.20,,,,0.00,,10.00,,, Industry: Construction,,,,19.91,,,,,,,,,,-6.72,-9.41,,,,,-8.01,Sector: Infrastructure Developers & Operators ,,,,,
0.37,-6.08,-149.84,3.14,79.11,0.00,Parenteral Drugs (India) Ltd,4.45,0.08,79.23,,0.00,-49.85,10.00,0.75,165.56, Industry: Pharmaceuticals - Indian - Formulations,18.45,,5.96,13.27,3.00,,,0.08,0.19,,-118.94,73.28,0.07,-6.72,%,0.00,-476.74,-17.16,-14.88,-6.49,Sector: Pharmaceuticals ,,0.00,179,1.33,-0.23
,,-1.38,,,,Baroda Extrusion Ltd,0.31,,,,0.00,,1.00,,, Industry: Mining / Minerals / Metals,,,,4.62,,,,,,,,,,-6.75,%,,,,,-33.65,Sector: Mining & Mineral products ,,,,,
0.71,-2.22,2.37,-27.42,438.01,4.38,Gyscoal Alloys Ltd,4.00,1.00,144.63,1.97,0.00,-1.30,1.00,2.97,18.50, Industry: Steel - Medium / Small,12.05,,2.32,63.31,4.00,,,3.42,0.43,1.69,-17.81,64.53,0.78,-6.77,-26.62,1.16,21.67,-11.58,-7.59,-19.37,Sector: Steel ,,64.53,6606,20.70,3.41
0.08,-7.65,0.54,-2.22,1166,5.71,Golden Carpets Ltd,4.16,8.24,81.64,13.31,0.00,-0.33,10.00,14.31,-0.22, Industry: Textiles - Products,14.05,,0.17,2.70,3.00,,,-12.29,3.75,7.71,-0.27,60.37,1.79,-6.78,-42.86,0.19,-8.09,-5.23,-0.33,-17.94,Sector: Textiles ,,60.37,,-93.20,-0.58
0.01,-2.18,201.09,-11.37,,0.49,Industrial Investment Trust Ltd,75.00,1048,1.60,0.00,0.00,-19.54,10.00,1.00,0.18, Industry: Finance & Investments,25.64,,,169.11,6.00,,,937.50,8.95,0.37,-32.26,41.83,1048,-6.79,-6.23,0.02,430.86,-6.19,-2.01,-19.42,Sector: Finance ,,41.83,931,0.00,0.00
0.12,-13.58,5.85,-1.20,1178,-0.01,Skyline Millars Ltd,2.92,22.58,2.28,0.00,0.00,-0.05,1.00,1.00,-3.19, Industry: Engineering,14.28,,0.21,11.75,6.00,,,-3.68,2.61,0.50,-1.99,71.68,2.25,-6.85,-7.82,0.12,19.51,-6.81,-11.71,-18.37,Sector: Capital Goods-Non Electrical Equipment ,,71.68,,0.00,0.00
1.28,-0.77,-8.38,1.73,28.84,3.15,Bedmutha Industries Ltd,15.50,1.85,57.27,,0.00,-23.15,10.00,-22.46,-6.11, Industry: Steel - Medium / Small,12.05,,8.64,38.02,4.00,,,-6.22,0.07,,-91.79,71.32,1.61,-6.85,-402,0.13,-45.08,-18.90,-11.78,21.62,Sector: Steel ,,42.17,18837,-26.22,-10.69
,,-0.85,,,,Warner Multimedia Ltd,0.95,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,1.76,,,,,,,,,,-6.86,%,,,,,50.37,Sector: Finance ,,,,,
0.08,-3.57,-20.68,0.79,439.30,0.00,Castex Technologies Ltd,0.65,0.06,76.07,,0.00,-19.83,2.00,-0.87,10.07, Industry: Auto Ancillaries,14.97,,1.32,24.58,3.00,,,2.44,0.05,,-1135.89,46.86,0.03,-6.90,-142,0.30,-857.63,-15.41,-8.67,-43.99,Sector: Auto Ancillaries ,,15.62,80323,6.93,-1.70
3.99,-1.26,4.36,-27.07,26.05,0.00,City Online Services Ltd,3.91,1.04,130.68,0.69,0.00,-1.82,10.00,1.69,1.10, Industry: Miscellaneous,15.69,,10.35,2.02,4.00,,,1.85,0.15,0.90,-0.79,14.75,0.86,-6.93,-22.35,0.31,-3.36,-15.88,-8.43,4.84,Sector: Miscellaneous ,,14.75,,2.07,-0.46
0.29,-9.41,3.85,-115,949.00,3.72,Gopal Iron & Steels Co.(Gujarat) Ltd,5.70,0.59,76.96,0.66,0.00,20.73,10.00,1.66,0.00, Industry: Steel - Medium / Small,12.05,,0.77,2.80,6.00,,,,0.90,1.48,-4.28,54.34,0.29,-6.95,%,0.49,-3.03,-20.52,-20.72,-29.50,Sector: Steel ,,54.34,,0.66,-0.41
0.05,-8.06,9.88,-0.56,,0.00,Vantage Knowledge Academy Ltd,4.82,5.57,175.20,0.00,0.00,-0.03,10.00,1.00,0.18, Industry: Miscellaneous,34.40,,,1.62,6.00,,,9.10,8.53,0.49,-0.24,12.56,5.57,-7.04,-6.99,0.13,-0.03,-6.76,-6.69,-8.67,Sector: Education ,,12.56,2,0.00,0.00
-2.17,0.11,-3.35,-33.33,,-0.01,SVC Resources Ltd,8.13,13.00,14.04,,0.00,0.10,10.00,-0.05,7.74, Industry: Mining / Minerals / Metals,5.86,,,5.65,4.00,,,0.72,20.93,,-0.09,28.66,13.00,-7.05,%,0.69,-9.28,-8.00,-1.90,%,Sector: Mining & Mineral products ,,28.66,10,0.94,-0.26
0.00,-14.62,1.09,-6.28,,0.67,Sri Havisha Hospitality & Infrastructure Ltd,0.85,15.62,123.31,0.00,0.00,-0.09,2.00,1.00,-0.83, Industry: Miscellaneous,15.69,,0.00,13.05,5.00,,,-15.72,,0.78,-1.32,34.50,0.35,-7.12,-7.06,,-13.99,-5.25,-12.78,%,Sector: Miscellaneous ,,34.50,1178,0.00,0.00
2.55,-17.03,6.80,-57.49,-31.30,0.00,VXL Instruments Ltd,4.46,2.43,331.68,0.67,0.00,-2.16,10.00,1.67,-2.10, Industry: Computers - Hardware,41.50,,3.58,5.94,5.00,,,-2.82,0.38,0.66,-2.00,10.83,1.01,-7.22,-15.46,0.05,-4.27,-11.00,-19.47,-14.61,Sector: IT - Hardware ,,10.83,55,-39.33,-1.41
0.70,-7.96,3.54,-3.64,297.95,0.00,Coromandel Engineering Company Ltd,20.00,3.05,91.63,4.55,0.00,0.00,10.00,5.55,3.68, Industry: Construction,20.17,,1.08,66.46,6.00,,,18.04,1.45,5.64,-11.82,74.61,1.40,-7.23,-66.67,0.19,-28.45,-16.29,-14.97,-27.94,Sector: Construction ,,74.61,3533,-9.31,-1.88
,,8.21,,,,B P Capital Ltd,12.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,3.61,,,,,,,,,,-7.25,-7.25,,,,,%,Sector: Finance ,,,,,
,,15.79,,,,Max Alert Systems Ltd,4.67,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,4.30,,,,,,,,,,-7.28,-10.13,,,,,-28.57,Sector: Miscellaneous ,,,,,
,,63.79,,,,Starlog Enterprises Ltd,16.65,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,19.93,,,,,,,,,,-7.32,-73.32,,,,,52.26,Sector: Miscellaneous ,,,,,
,,1.18,,,,Network Ltd,2.20,,,,0.00,,2.00,,, Industry: Miscellaneous,,,,10.81,,,,,,,,,,-7.36,-7.36,,,,,-22.43,Sector: Miscellaneous ,,,,,
1.22,-8.09,13.86,-5.05,32.88,3.72,Ashima Ltd,9.80,3.42,68.46,0.12,0.00,1.25,10.00,1.12,53.93, Industry: Textiles - Cotton/Blended,10.27,,4.52,125.88,7.00,,,2.33,0.44,0.71,-18.56,60.92,2.22,-7.48,-17.34,0.11,49.58,-11.53,-12.24,-5.33,Sector: Textiles ,,60.92,13210,0.52,0.44
,,4.99,,,,Advik Laboratories Ltd,1.20,,,,0.00,,10.00,,, Industry: Pharmaceuticals - Indian - Formulations,,,,2.29,,,,,,,,,,-7.53,-7.78,,,,,-30.61,Sector: Pharmaceuticals ,,,,,
0.43,-5.26,1.88,-35.95,,0.00,Tilak Ventures Ltd,0.55,3.35,0.24,0.09,0.00,-0.14,1.00,1.09,-2.36, Industry: Trading,53.61,,,7.07,2.00,,,-2.99,0.33,0.29,-2.56,57.75,3.35,-7.60,-9.12,0.00,11.29,-8.50,-5.49,-4.26,Sector: Trading ,,57.75,2666,-0.77,0.20
2.68,-3.07,27.57,-34.37,55.26,0.00,Eurotex Industries and Exports Ltd,13.35,0.53,43.37,1.38,0.00,-19.51,10.00,2.38,0.52, Industry: Textiles - Cotton/Blended,10.27,,4.32,11.68,4.00,,,22.34,0.06,0.48,-14.17,70.99,0.07,-7.61,-29.01,0.01,15.38,-14.40,-10.23,-3.51,Sector: Textiles ,,70.99,364,4.55,2.17
,,18.43,,,,Bio Green Papers Ltd,4.67,,,,0.00,,10.00,,, Industry: Paper,,,,12.06,,,,,,,,,,-7.67,-8.15,,,,,-60.74,Sector: Paper ,,,,,
1.68,7.10,1.08,-5.42,126.60,4.01,Kaiser Corporation Ltd,2.05,2.26,102.77,0.67,0.00,0.00,1.00,1.67,-0.38, Industry: Printing & Stationery,41.94,,14.38,10.79,3.00,,,-28.38,0.68,1.91,-1.18,59.52,2.01,-7.69,-19.98,0.56,0.40,-9.78,-1.11,-9.55,Sector: Printing & Stationery ,,59.52,,87.69,9.50
0.07,-3.28,43.30,-31.83,24.42,51.95,Confidence Futuristic Energetech Ltd,47.45,3.60,25.70,0.06,0.00,0.23,10.00,1.06,-2.67, Industry: Miscellaneous,15.69,,9.47,9.49,1.00,158.17,,-3.55,1.21,1.10,-0.74,52.52,3.60,-7.70,-8.60,2.21,6.66,-7.13,-2.92,%,Sector: Miscellaneous ,158.17,52.52,,-0.64,0.08
,,18.56,,,,Lyka Labs Ltd,21.35,,,,0.00,,10.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,,,,60.08,,,,,,,,,,-7.74,-43.38,,,,,-20.46,Sector: Pharmaceuticals ,,,,,
0.10,0.77,1.21,7.61,161.73,-25.29,Videocon Industries Ltd,1.65,0.17,95.44,658.06,0.00,-215.13,10.00,659.06,-19526.62, Industry: Electronics - Consumer,31.93,,1.30,55.18,1.00,,,0.00,0.08,1.37,-4644.20,40.68,0.13,-7.77,-66.32,0.25,-294.09,-15.35,-7.27,-46.67,Sector: Consumer Durables ,,40.68,45459,-9.30,-90.33
,,364.39,,,,Mafatlal Industries Ltd,90.10,,,,0.00,,10.00,,, Industry: Textiles - Composite,,,,125.36,,,,,,,,,,-7.77,-15.02,,,,,-8.20,Sector: Textiles ,,,,,
,,39.74,,,,Autoline Industries Ltd,51.80,,,,0.00,,10.00,,, Industry: Auto Ancillaries,,,,140.00,,,,,,,,,,-7.86,-86.17,,,,,-8.78,Sector: Auto Ancillaries ,,,,,
,,47.70,,,,Twenty First Century Management Services Ltd,16.90,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,17.75,,,,,,,,,,-8.05,-10.73,,,,,-26.24,Sector: Finance ,,,,,
0.11,-0.03,-909.53,71.07,412.82,-0.96,Aban Offshore Ltd,37.00,0.13,120.23,,0.00,-903.61,2.00,0.97,301.92, Industry: Oil Drilling / Allied Services,12.61,,3.89,215.96,3.00,,,0.72,0.25,,-2606.53,46.00,0.10,-8.13,-196,0.76,-5320.31,-17.15,-8.13,-28.66,Sector: Crude Oil & Natural Gas ,,37.09,40230,0.15,-0.03
,,2.85,,,,Shree Renuka Sugars Ltd,9.30,,,,0.00,,1.00,,, Industry: Sugar,,,,1783,,,,,,,,,,-8.14,-15.19,,,,,0.54,Sector: Sugar ,,,,,
,,64.87,,,,Modulex Construction Technologies Ltd,24.70,,,,0.00,,10.00,,, Industry: Electric Equipment,,,,105.86,,,,,,,,,,-8.14,-8.14,,,,,%,Sector: Capital Goods - Electrical Equipment ,,,,,
,,-4.45,,,,Integra Garments & Textiles Ltd,0.45,,,,0.00,,3.00,,, Industry: Textiles - Products,,,,1.64,,,,,,,,,,-8.25,%,,,,,%,Sector: Textiles ,,,,,
,,4.55,,,,Ugar Sugar Works Ltd,14.50,,,,0.00,,1.00,,, Industry: Sugar,,,,163.12,,,,,,,,,,-8.26,-85.85,,,,,-0.11,Sector: Sugar ,37.50,,,,
0.60,-11.17,6.79,-16.05,143.28,42.51,Moschip Technologies Ltd,16.95,0.96,90.38,0.43,0.00,-2.22,2.00,1.43,-34.30, Industry: Computers - Software - Medium / Small,14.92,,10.64,255.62,1.00,,,-7.45,4.63,2.50,-12.65,60.80,0.89,-8.27,-29.37,0.58,72.96,-14.17,-117,116,Sector: IT - Software ,,60.80,13767,-1.50,0.61
1.15,-8.55,-163.91,-4.35,30.20,-4.40,Jai Balaji Industries Ltd,24.90,0.44,97.60,,0.00,-15.94,10.00,-1.30,33.80, Industry: Steel - Sponge Iron,10.17,,5.26,240.01,4.00,,,7.10,0.08,,-216.33,58.41,0.28,-8.31,%,0.16,-1676.25,-9.85,-14.76,17.37,Sector: Steel ,,4.17,4996,-42.97,-2.17
0.32,-1.98,8.21,-46.03,,0.00,Sowbhagya Media Ltd,2.30,14.88,40.06,0.00,0.00,-0.54,10.00,1.00,-1.18, Industry: Entertainment / Electronic Media Software,26.24,,,2.51,2.00,,,-2.12,41.83,0.28,-0.78,59.65,14.88,-8.31,-7.81,0.09,-1.97,-7.81,-1.70,5.95,Sector: Entertainment ,,59.65,,0.00,0.00
,,22.82,,,,SSPDL Ltd,29.40,,,,0.00,,10.00,,, Industry: Construction,,,,38.01,,,,,,,,,,-8.31,-15.05,,,,,-31.88,Sector: Realty ,,,,,
,,-68.99,,,,Shree Ganesh Forgings Ltd,1.00,,,,0.00,,10.00,,, Industry: Castings & Forgings,,,,1.25,,,,,,,,,,-8.34,%,,,,,-74.60,"Sector: Castings, Forgings & Fastners ",,,,,
,,15.59,,,,Kandagiri Spinning Mills Ltd,13.85,,,,0.00,,10.00,,, Industry: Textiles - Cotton/Blended,,,,5.33,,,,,,,,,,-8.43,-35.84,,,,,-34.02,Sector: Textiles ,,,,,
1.35,-2.04,39.77,8.67,86.38,-21.60,CG Power & Industrial Solutions Ltd,21.05,1.01,73.34,0.79,0.00,-13.44,2.00,1.79,-552.06, Industry: Electric Equipment,21.49,,8.42,1319,3.00,,,-2.39,0.20,0.53,-751.88,12.77,0.85,-8.43,-22.08,0.29,2367,-10.26,-5.39,2.18,Sector: Capital Goods - Electrical Equipment ,,0.00,1623386,-6.94,0.83
0.38,-6.17,-83.36,5.14,169.56,0.00,SEL Manufacturing Company Ltd,0.80,0.14,26.62,,0.00,-11.24,10.00,-0.44,349.60, Industry: Textiles - Cotton/Blended,10.27,,2.20,26.51,4.00,,,0.08,0.04,,-1269.71,15.78,0.12,-8.44,%,0.05,-3093.68,-27.95,-14.25,-23.88,Sector: Textiles ,,0.00,52339,11.76,-1.28
0.00,-9.00,242.13,-24.23,,0.00,Gujchem Distillers India Ltd,132.80,11.83,56.64,0.04,0.00,-28.26,10.00,1.04,-0.56, Industry: Chemicals,15.39,,,2.15,3.00,,,-4.74,,0.55,-0.39,52.09,11.83,-8.46,-8.55,,3.76,-8.44,-9.07,%,Sector: Chemicals ,,52.09,74,0.23,0.04
,,55.01,,,,Nagpur Power & Industries Ltd,35.70,,,,0.00,,10.00,,, Industry: Mining / Minerals / Metals,,,,46.77,,,,,,,,,,-8.46,-8.52,,,,,-32.14,Sector: Mining & Mineral products ,,,,,
,,1.44,,,,Vision Cinemas Ltd,1.07,,,,0.00,,1.00,,, Industry: Entertainment / Electronic Media Software,,,,7.58,,,,,,,,,,-8.47,-7.99,,,,,-61.30,Sector: Entertainment ,68.92,,,,
0.01,-8.83,-38.01,-0.53,,0.61,Shreyas Intermediates Ltd,3.52,3.06,2826,,0.00,-0.72,10.00,-0.60,-0.21, Industry: Dyes And Pigments,10.51,,,5.67,4.00,,,-26.99,,,-3.29,61.64,3.06,-8.48,%,16.13,-92.33,-8.48,-8.08,-78.28,Sector: Chemicals ,,36.40,,-200.33,-1.06
,,10.71,,,,Commercial Engineers & Body Builders Company Ltd,16.70,,,,0.00,,10.00,,, Industry: Engineering,,,,149.44,,,,,,,,,,-8.48,%,,,,,-6.18,Sector: Capital Goods-Non Electrical Equipment ,,,,,
,,47.29,,,,Speciality Restaurants Ltd,73.00,,,,0.00,,10.00,,, Industry: Hotels,,,,342.81,,,,,,,,,,-8.50,-19.94,,,,,-0.29,Sector: Hotels & Restaurants ,,,,,
0.00,-8.96,2.72,-52.00,,0.00,Cinerad Communications Ltd,3.43,26.00,0.00,0.00,0.00,0.03,10.00,1.00,-0.12, Industry: Entertainment / Electronic Media Software,26.24,-4.24,,1.78,4.00,178.00,-8.84,-14.86,,1.26,-0.13,45.39,26.00,-8.50,-8.50,,-3.79,-8.50,-9.34,%,Sector: Entertainment ,178.00,45.39,,0.00,0.00
,,-20.33,,,,NEL Holdings Ltd,1.90,,,,0.00,,10.00,,, Industry: Construction,,,,27.71,,,,,,,,,,-8.50,-1169,,,,,-49.86,Sector: Realty ,,,,,
,,18.74,,,,Kavveri Telecom Products Ltd,3.70,,,,0.00,,10.00,,, Industry: Telecommunications - Equipment,,,,7.44,,,,,,,,,,-8.60,-77.84,,,,,-34.18,Sector: Telecomm Equipment & Infra Services ,,,,,
0.86,-0.30,73.93,-6.97,127.29,45.71,Titagarh Wagons Ltd,53.05,1.41,82.75,0.73,0.56,0.00,2.00,1.73,-149.55, Industry: Engineering,14.28,,2.59,613.29,2.00,,,-4.10,0.48,0.72,-142.26,45.71,1.04,-8.64,-15.61,0.22,831.57,-9.33,-2.95,18.55,Sector: Capital Goods-Non Electrical Equipment ,,45.71,173203,-3.57,0.75
1.12,-1.14,-29.66,20.58,27.34,0.00,Bilcare Ltd,22.80,0.43,59.44,,0.00,-192.75,10.00,-31.25,-115.34, Industry: Packaging,8.45,,7.90,53.68,5.00,,,-0.46,0.02,,-438.53,30.02,0.25,-8.65,-86.54,0.11,-93.38,-15.61,-6.53,1.06,Sector: Packaging ,,29.60,2736,182.04,-24.12
0.00,-8.79,48.21,-1.20,,-0.03,Gita Renewable Energy Ltd,5.14,0.31,15643,0.00,0.00,-4.49,10.00,1.00,-0.04, Industry: Power Generation And Supply,9.40,,,2.11,3.00,,,-52.69,5.86,0.11,-2.02,70.85,0.31,-8.66,-8.91,,15.68,-8.75,-3.67,%,Sector: Power Generation & Distribution ,,70.85,,0.00,0.00
0.56,1.31,-88.10,6.62,,-9.39,Ushdev International Ltd,0.27,0.01,312.83,,0.00,-21.41,1.00,0.16,113.95, Industry: Trading,53.61,,,9.14,3.00,,,0.08,0.43,,-268.76,45.01,0.01,-8.68,%,0.09,-3015.69,-14.98,-6.83,-75.20,Sector: Trading ,,29.55,19161,-5.38,-0.83
0.09,2.53,11.63,-62.99,,0.00,Sai Baba Investment and Commercial Enterprises Ltd,6.09,0.04,18.80,0.00,0.00,0.60,1.00,1.00,-1.24, Industry: Finance & Investments,25.64,,,6.86,3.00,9.53,,-5.55,5.12,0.52,-1.14,0.00,0.04,-8.68,-8.68,0.02,1.85,-8.68,0.89,-2.90,Sector: Finance ,9.53,0.00,518,0.00,0.00
,,111.92,,,,Veejay Lakshmi Engineering Works Ltd,32.30,,,,0.00,,10.00,,, Industry: Textile Machinery,,,,16.38,,,,,,,,,,-8.75,-9.97,,,,,-9.58,Sector: Engineering ,,,,,
0.01,-3.48,19.41,-16.95,117.28,0.00,Mystic Electronics Ltd,4.11,1.74,0.00,0.10,0.00,-0.03,10.00,1.10,23.05, Industry: Trading,53.61,,2.88,8.12,5.00,,,0.35,,0.21,-3.88,15.60,1.74,-8.80,-8.88,0.29,18.58,-8.86,-3.94,6.12,Sector: Trading ,,15.60,551,0.52,0.20
0.34,-8.65,1.06,2.09,138.12,0.10,NRB Industrial Bearings Ltd,15.50,0.44,103.57,43.47,0.00,-5.77,2.00,44.47,-2.63, Industry: Bearings,23.27,,2.28,37.58,5.00,,,-14.26,0.67,14.68,-20.45,70.38,0.18,-8.81,-286,0.26,-2.28,-15.11,-14.36,5.55,Sector: Bearings ,,70.38,2451,-56.11,-48.81
0.05,-10.50,-124.13,-4.55,25.59,-2.05,Empee Sugars & Chemicals Ltd,0.69,1.12,428.59,,0.00,0.00,10.00,-0.60,0.00, Industry: Sugar,10.98,,0.98,2.90,2.00,,,,0.18,,-32.42,67.53,0.83,-8.87,%,0.77,-563.68,-7.02,-12.15,-51.71,Sector: Sugar ,,18.96,526,213.56,-1.48
,,19.67,,,,Worldwide Leather Exports Ltd,17.15,,,,0.00,,10.00,,, Industry: Leather / Leather Products,,,,5.64,,,,,,,,,,-8.89,-12.26,,,,,-39.27,Sector: Leather ,,,,,
0.03,-30.72,-192.54,-0.88,73.67,15.69,PSL Ltd,0.80,3.26,50.62,,0.00,-7.85,10.00,-0.61,-30.60, Industry: Steel - Large,8.38,,2.51,9.99,5.00,,,-0.33,0.12,,-152.75,36.90,3.07,-8.91,%,0.19,-2529.24,-7.95,-23.97,-29.89,Sector: Steel ,,20.11,10908,116.12,-1.53
1.45,-5.42,2.44,-9.91,83.50,0.00,Rollatainers Ltd,1.80,0.63,114.18,0.47,0.00,-0.53,1.00,1.47,-4.78, Industry: Packaging,8.45,,6.58,45.02,2.00,,,-9.42,0.33,0.74,-16.56,74.95,0.46,-8.94,-19.73,0.45,36.04,-8.24,-6.76,-37.39,Sector: Packaging ,,74.95,10638,-0.40,0.80
,,73.61,,,,G G Dandekar Machine Works Ltd,52.40,,,,0.00,,1.00,,, Industry: Engineering,,,,25.16,,,,,,,,,,-8.95,-11.79,,,,,19.40,Sector: Capital Goods-Non Electrical Equipment ,,,,,
,,226.08,,,,Jindal Poly Investment & Finance Company Ltd,20.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,21.02,,,,,,,,,,-8.96,-346,,,,,781,Sector: Finance ,,,,,
0.07,-5.35,12.14,6.69,276.57,-8.13,Jointeca Education Solutions Ltd,15.00,2.94,0.00,0.04,0.00,0.00,10.00,1.04,-0.17, Industry: Computers - Software - Medium / Small,14.92,,35.20,15.03,4.00,,,-88.24,17.08,1.24,-1.08,55.20,2.94,-8.97,-8.50,0.70,2.14,-8.21,-6.10,-39.43,Sector: IT - Software ,,45.22,8000,-7.04,0.25
,,12.80,,,,IRIS Business Services Ltd,19.00,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,35.87,,,,,,,,,,-9.06,-22.52,,,,,7.40,Sector: IT - Software ,,,,,
0.38,-7.89,-7.34,-10.53,13.78,0.00,STI India Ltd,6.85,3.14,17.85,,0.00,-2.02,10.00,-4.30,-0.33, Industry: Textiles - Cotton/Blended,10.27,,33.63,19.87,2.00,,,-60.20,0.49,,-9.17,75.00,3.08,-9.08,%,0.09,-50.28,-8.85,-7.77,-14.85,Sector: Textiles ,,0.00,275,-30.71,-2.24
0.00,-14.84,5.21,-11.11,,0.00,Gujarat Toolroom Ltd,5.50,5.50,365.00,0.08,0.00,-0.70,10.00,1.08,-0.01, Industry: Engineering,14.28,,,0.38,4.00,,,-38.50,,1.06,-0.04,11.37,5.50,-9.09,-9.09,,-0.33,-9.30,-14.60,%,Sector: Capital Goods-Non Electrical Equipment ,,11.37,,-0.26,-0.09
0.86,-11.89,44.67,-20.82,43.53,2.71,Sastasundar Ventures Ltd,104.35,4.50,21.68,0.00,0.00,-12.06,10.00,1.00,-54.83, Industry: Finance & Investments,25.64,,6.24,331.93,6.00,,,-6.05,1.52,2.34,-18.38,74.38,2.72,-9.10,-10.07,0.05,105.27,-8.49,-12.13,45.79,Sector: Finance ,,74.38,1224,0.00,0.00
